Published Date,Outlet,Headline,Contextual Snippet,URL
2/18/2025,15min.lt,„Bigbank“ skolina 7 mln. eurų „Eika Development“ būsto projektui Vilniuje,,http://ct.moreover.com/?a=56051663001&p=1lk&v=1&x=Bt3h86-S3im411cweHkiDg
2/18/2025,BNS Spaudos centras,Bankas „Bigbank“ suteikia 7 mln. Eur finansavimą NT projektui Pašilaičiuose vystyti,"aktyvių klientų ir daugiau nei 500 darbuotojų. Bankas Lietuvoje teikia būsto, verslo, vartojimo paskolų, indėlių ir kitas paslaugas fiziniams bei juridiniams asmenims.

„EIKA Development“ – EIKA grupės dukterinė įmonė, perėmusi visą nekilnojamojo tur...",https://sc.bns.lt/view/item/bankas-bigbank-suteikia-7-mln-eur-finansavima-nt-projektui-pasilaiciuose-vystyti-501589
2/18/2025,Statybunaujienos.lt,„EIKA Development“ susitarė su banku dėl 7 mln. Eur finansavimo NT projektui Pašilaičiuose,"Nekilnojamojo turto projektų valdymo bendrovė „EIKA Development“ susitarė su banku „Bigbank“ dėl 7 mln. Eur siekiančio finansavimo, skirto gyvenamojo NT projekto „Medeinos namai“ Vilniuje vystymui, rašoma „Bigbank“ pranešime žiniasklaidai.",https://www.statybunaujienos.lt/naujiena/EIKA-Development-susitare-su-banku-del-7-mln-Eur-finansavimo-NT-projektui-Pasilaiciuose/23863
2/17/2025,Lietuvos Nacionalinis Radijas ir Televizija (LRT),Dėl griūvančio daugiabučio – kaltų paieškos ir teismuose,"Vilniaus Aludarių gatvėje stovinčio daugiabučio gyventojai ir nekilnojamojo turto plėtros įmonė „Eika Development“ iki šiol neišsiaiškino, kas kaltas dėl byrėti pradėjusio šimtamečio namo. Ginčai dėl daugiabutyje atsiradusių trūkių trunka daugiau nei",https://www.lrt.lt/radioteka/irasas/2000392702/del-griuvancio-daugiabucio-kaltu-paieskos-ir-teismuose
2/17/2025,TV3 Lithuania,"Verslo „ryklius“ nustebino nepasiruošęs šou dalyvis: „Atrodo, kad visa tai sugalvojai šiandien ryte“","Kaip įprasta, dalyvių verslo idėjų klausysis penki garsūs šalies investuotojai –

„rykliai“ : multimilijoninio startuolio „CUJO AI“ įkūrėjas Einaras Gravrock, advokatų bendrijos „Walless“ vadovė Dovilė Burgienė, „Eika“ įkūrėjas ir valdybos pirmininka...",https://www.tv3.lt/naujiena/verslas/verslo-ryklius-nustebino-nepasiruoses-sou-dalyvis-atrodo-kad-visa-tai-sugalvojai-siandien-ryte-n1398385
2/15/2025,Lietuvos rytas,Skaičiai įspūdingi: per trejus metus susikaupė 6 tūkst. atidėtų butų sandorių,"Net ir jau pastatytos patalpos dažnai laukia nuomininkų, todėl naujų patalpų statybų plėtotojai kiek privengia arba bando nuomininkų ieškoti kaip įmanoma anksčiau.“„EIKA Development“ duomenys rodo, kad šiuo metu vien Vilniuje yra statoma apie 130 tūk...",http://ct.moreover.com/?a=56029985785&p=1lk&v=1&x=0yFjPPUhiaCAORN7SCRGvw
2/15/2025,Lietuvos rytas,Skaičiai įspūdingi: per trejus metus susikaupė 6 tūkst. atidėtų butų sandorių,"P. Poderskis pristatė numatytus ministerijos darbus: prioritetas – biurokratijos mažinimas

„Eika Development“ skaičiavimais, vien per pastaruosius trejus metus yra susikaupę apie 6 tūkst. atidėtų butų sandorių. „Krentant paskolų palūkanų normoms, ne...",https://www.lrytas.lt/verslas/rinkos-pulsas/2025/02/15/news/skaiciai-ispudingi-per-trejus-metus-susikaupe-6-tukst-atidetu-butu-sandoriu-36472396/
2/14/2025,Mano Namai,Sodas ir kiemas,"Miesto erdvės grąžinamos miestiečiams, gamyklos traukiasi

Kalbėdamas apie Vilnių, NT projektų valdymo įmonės „EIKA Development“ vadovas Martynas Žibūda tikina, kad miestų centrai bei jų aplinkinės teritorijos labai patrauklios ir dėl savo vietos, ir",https://manonamai.lt/nt-patarimai/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-gamyklos-keliamos-is-miesto-centro
2/14/2025,M360,Kaip keisis B2B marketingas 2025 metais?,"Konferencijoje – naujienos ir praktiniai patarimai

Į klausimus, kokios bus B2B marketingo naujovės ir tendencijos 2025-taisiais bei kaip adaptuoti B2B strategiją, dviejų dienų konferencijoje atsakys net 11 profesionalų.

Konferenciją atidarys „Eika“",https://www.delfi.lt/m360/naujausi-straipsniai/kaip-keisis-b2b-marketingas-2025-metais-120086600
2/14/2025,Litas.lt,Kaip keisis B2B marketingas 2025 metais?,"Konferencijoje – naujienos ir praktiniai patarimai

Į klausimus, kokios bus B2B marketingo naujovės ir tendencijos 2025-taisiais bei kaip adaptuoti B2B strategiją, dviejų dienų konferencijoje atsakys net 11 profesionalų.

Konferenciją atidarys „Eika”",https://www.litas.lt/kaip-keisis-b2b-marketingas-2025-metais/
2/14/2025,Verslo Idėjos  - Verslo vikingai,B2B marketingo ateitis 2025 m.: kokie pokyčiai laukia ir kaip jiems pasiruošti?,"Konferencijoje – naujienos ir praktiniai patarimai

Į klausimus, kokios bus B2B marketingo naujovės ir tendencijos 2025-taisiais bei kaip adaptuoti B2B strategiją, dviejų dienų konferencijoje atsakys net 11 profesionalų.

Konferenciją atidarys „Eika”",https://versloidejos.lt/reklama-ir-marketingas/b2b-marketingo-ateitis-2025-m-kokie-pokyciai-laukia-ir-kaip-jiems-pasiruosti/
2/14/2025,BNS Spaudos centras,Kaip keisis B2B marketingas 2025 metais?,"Konferencijoje – naujienos ir praktiniai patarimai

Į klausimus, kokios bus B2B marketingo naujovės ir tendencijos 2025-taisiais bei kaip adaptuoti B2B strategiją, dviejų dienų konferencijoje atsakys net 11 profesionalų.

Konferenciją atidarys „Eika”",https://sc.bns.lt/view/item/kaip-keisis-b2b-marketingas-2025-metais-501381
2/12/2025,Lietuvos naujienų agentūra (ELTA),„EIKA Asset Management“ suteikta licenciją veikti Europos Sąjungoje,,http://ct.moreover.com/?a=56009262902&p=1lk&v=1&x=1MAufWm8KWIw3kIDNKR25g
2/12/2025,Verslo žinios,„EIKA Asset Management“ gavo licenciją veikti Europos Sąjungoje,"...jų investicijos yra saugios ne mažiau nei kituose stiprios reputacijos vakarietiškuose fonduose“, – sako Andrius Uždavinys, „EIKA Asset Management“ vadovas.

Nuo 2016 m. veikianti „EIKA Asset Management“ šiuo metu valdo 7 fondus, kurių valdomo turto ...",http://ct.moreover.com/?a=56005687484&p=1lk&v=1&x=4FiU4x3v_TRBQ9UnrQtDOg
2/12/2025,Naujienugidas,„Eika Asset Management“ gavo teisę veikti Europos Sąjungoje,"Investicijų bendrovė „Eika Asset Management“ įgijo teisę veikti Europos Sąjungoje (ES) bei galės plėsti investicinių fondų

valdymo paslaugas tiek ES, tiek Europos ekonominės erdvės šalyse, trečiadienį pranešė bendrovė.

Lietuvos bankas suteikė įmone...",https://www.naujienugidas.lt/eika-asset-management-gavo-teise-veikti-europos-sajungoje-139856.html
2/12/2025,15min.lt,„Eika Asset Management“ gavo teisę veikti Europos Sąjungoje,"...standartus, tad jų investicijos yra saugios ne mažiau nei kituose stiprios reputacijos vakarietiškuose fonduose“, – pranešime sakė „Eika Asset Management“ vadovas Andrius Uždavinys....",http://ct.moreover.com/?a=56004641003&p=1lk&v=1&x=xJiL5wnc4MF_oJKDth7TyQ
2/12/2025,TV3 Lithuania,„Eika Asset Management“ gavo teisę veikti Europos Sąjungoje,"...standartus, tad jų investicijos yra saugios ne mažiau nei kituose stiprios reputacijos vakarietiškuose fonduose“, – pranešime sakė „Eika Asset Management“ vadovas Andrius Uždavinys.

Pasak įmonės, gavus naują licenciją visų fondų turtas privalės būti...",https://www.tv3.lt/naujiena/verslas/eika-asset-management-gavo-teise-veikti-europos-sajungoje-n1397219
2/12/2025,Jūsų Panevėžys,"Rinkos dalyviai: Rūdninkų konkurso išskaidymas – logiškas, bet pigiau gali nepavykti","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai...",https://jp.lt/rinkos-dalyviai-rudninku-konkurso-isskaidymas-logiskas-bet-pigiau-gali-nepavykti/
